epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1843.39,1.16386,1.52476,1.40519,0.29153,0.2,0.07108,0.01426,2.80912,3.80608,2.56729,0.0009308,0.0009308,0.0009308
56,1856.75,1.18317,1.67267,1.36857,0.29153,0.2,0.07108,0.01426,2.80912,3.80608,2.56729,0.000911,0.000911,0.000911
57,1869.84,1.11185,1.5454,1.30038,0.29649,0.1779,0.06962,0.01065,2.70973,3.74412,2.53448,0.0008912,0.0008912,0.0008912
58,1882.78,1.19415,1.33212,1.30525,0.29649,0.1779,0.06962,0.01065,2.70973,3.74412,2.53448,0.0008714,0.0008714,0.0008714
59,1897.42,1.04489,1.34679,1.26589,0.00238,1,0.01378,0.00352,2.65099,4.041,2.36341,0.0008516,0.0008516,0.0008516
60,1910.16,1.07615,1.48859,1.34377,0.00238,1,0.01378,0.00352,2.65099,4.041,2.36341,0.0008318,0.0008318,0.0008318
61,1923,1.14399,1.65592,1.39614,0.00238,1,0.01645,0.00495,2.75246,4.03487,2.50552,0.000812,0.000812,0.000812
62,1935.92,1.15659,1.6124,1.37537,0.00238,1,0.01645,0.00495,2.75246,4.03487,2.50552,0.0007922,0.0007922,0.0007922
63,1948.82,1.29912,1.70645,1.47422,0.00238,1,0.0264,0.01027,2.56943,4.02392,2.3921,0.0007724,0.0007724,0.0007724
64,1962.67,1.17466,1.3243,1.21477,0.00238,1,0.0264,0.01027,2.56943,4.02392,2.3921,0.0007526,0.0007526,0.0007526
65,1976.16,1.04409,1.18461,1.27654,0.00238,1,0.02242,0.00604,2.35324,4.15889,2.20501,0.0007328,0.0007328,0.0007328
66,1989.81,1.09534,1.37895,1.24553,0.00238,1,0.02242,0.00604,2.35324,4.15889,2.20501,0.000713,0.000713,0.000713
67,2003.4,1.16824,1.71671,1.42117,0.00238,1,0.01581,0.00436,2.26153,4.29956,2.12117,0.0006932,0.0006932,0.0006932
68,2017.07,0.99004,1.48861,1.29737,0.00238,1,0.01581,0.00436,2.26153,4.29956,2.12117,0.0006734,0.0006734,0.0006734
69,2076.71,1.10757,1.43259,1.31717,0.00238,1,0.00585,0.00222,2.25973,4.3205,2.01347,0.0006536,0.0006536,0.0006536
70,2091.95,1.17062,1.45797,1.33323,0.00238,1,0.00585,0.00222,2.25973,4.3205,2.01347,0.0006338,0.0006338,0.0006338
71,2105.67,1.01853,1.41048,1.23288,0.00238,1,0.00855,0.00374,2.19605,4.25843,1.92163,0.000614,0.000614,0.000614
72,2118.56,0.94745,1.22246,1.19717,0.00238,1,0.00855,0.00374,2.19605,4.25843,1.92163,0.0005942,0.0005942,0.0005942
73,2131.63,1.15626,1.48845,1.35639,0.00238,1,0.01207,0.00592,1.96688,4.10933,1.7844,0.0005744,0.0005744,0.0005744
74,2144.62,1.24897,1.74226,1.47669,0.00238,1,0.01207,0.00592,1.96688,4.10933,1.7844,0.0005546,0.0005546,0.0005546
75,2157.32,1.00539,1.29284,1.18215,0.00238,1,0.02169,0.01247,1.98719,4.02108,1.77201,0.0005348,0.0005348,0.0005348
76,2170.11,0.9263,1.16745,1.20205,0.00238,1,0.02169,0.01247,1.98719,4.02108,1.77201,0.000515,0.000515,0.000515
77,2182.87,0.94661,1.37376,1.26909,0.00238,1,0.04099,0.01981,2.25,3.96454,1.86887,0.0004952,0.0004952,0.0004952
78,2195.75,1.10029,1.27917,1.33478,0.00238,1,0.04099,0.01981,2.25,3.96454,1.86887,0.0004754,0.0004754,0.0004754
79,2208.89,0.97464,1.39084,1.30711,0.00238,1,0.04963,0.02015,2.30818,3.94763,1.93954,0.0004556,0.0004556,0.0004556
80,2223.24,0.91185,1.09744,1.22426,0.00238,1,0.04963,0.02015,2.30818,3.94763,1.93954,0.0004358,0.0004358,0.0004358
81,2236.54,0.81978,1.08741,1.14257,0.29991,0.2,0.27556,0.04205,2.25826,3.91425,1.95585,0.000416,0.000416,0.000416
82,2249.94,0.98505,1.54849,1.26652,0.29991,0.2,0.27556,0.04205,2.25826,3.91425,1.95585,0.0003962,0.0003962,0.0003962
83,2264.51,0.93085,1.25706,1.17366,0.56312,0.2,0.30047,0.04569,2.28614,3.7767,1.93774,0.0003764,0.0003764,0.0003764
84,2278.14,0.98939,1.36964,1.27324,0.56312,0.2,0.30047,0.04569,2.28614,3.7767,1.93774,0.0003566,0.0003566,0.0003566
85,2291.54,0.96745,1.27985,1.2614,0.62686,0.2,0.26819,0.04069,2.34345,3.64437,1.91143,0.0003368,0.0003368,0.0003368
86,2304.94,1.07236,1.18796,1.26015,0.62686,0.2,0.26819,0.04069,2.34345,3.64437,1.91143,0.000317,0.000317,0.000317
87,2318.68,0.81456,1.06636,1.12905,0.65899,0.2,0.2663,0.03593,2.42528,3.63111,2.00344,0.0002972,0.0002972,0.0002972
88,2332.91,0.96113,1.21889,1.20885,0.65899,0.2,0.2663,0.03593,2.42528,3.63111,2.00344,0.0002774,0.0002774,0.0002774
89,2347.43,0.84008,1.12437,1.14134,0.69911,0.2,0.26113,0.03595,2.46731,3.5938,2.05853,0.0002576,0.0002576,0.0002576
90,2361.22,0.86654,1.18619,1.16199,0.69911,0.2,0.26113,0.03595,2.46731,3.5938,2.05853,0.0002378,0.0002378,0.0002378
91,2376.2,1.06792,1.79384,1.35183,0.00238,1,0.02928,0.01036,2.50009,3.58521,2.1547,0.000218,0.000218,0.000218
92,2392.86,0.78059,1.42087,1.06396,0.00238,1,0.02928,0.01036,2.50009,3.58521,2.1547,0.0001982,0.0001982,0.0001982
93,2405.99,0.76878,1.41278,1.04492,0.00238,1,0.05387,0.01327,2.43639,3.66276,2.21879,0.0001784,0.0001784,0.0001784
94,2420.13,0.81064,1.66917,1.08203,0.00238,1,0.05387,0.01327,2.43639,3.66276,2.21879,0.0001586,0.0001586,0.0001586
95,2434.35,0.76884,1.35016,1.12145,0.11214,0.2,0.1278,0.01553,2.59516,3.69683,2.29934,0.0001388,0.0001388,0.0001388
96,2447.96,0.63566,1.17614,1.05752,0.11214,0.2,0.1278,0.01553,2.59516,3.69683,2.29934,0.000119,0.000119,0.000119
97,2461.46,0.84217,1.5262,1.15835,0.00238,1,0.0514,0.00753,2.55058,3.866,2.3017,9.92e-05,9.92e-05,9.92e-05
98,2474.41,0.72506,1.29259,1.03458,0.00238,1,0.0514,0.00753,2.55058,3.866,2.3017,7.94e-05,7.94e-05,7.94e-05
99,2487.42,0.64303,1.27959,1.05398,0.00238,1,0.10226,0.01296,2.49859,4.03292,2.24462,5.96e-05,5.96e-05,5.96e-05
100,2500.43,0.66743,1.22972,1.02995,0.00238,1,0.10226,0.01296,2.49859,4.03292,2.24462,3.98e-05,3.98e-05,3.98e-05
